title	artist
Sidewalks	The Weeknd Featuring Kendrick Lamar
Diplomatic Immunity	Drake
GUMMO	6ix9ine
Rocket Ship	Future
Parking Lot Party	Lee Brice
Hey, Soul Sister	Train
Drunk Last Night	Eli Young Band
One Thing Right	Marshmello & Kane Brown
Back To You	Selena Gomez
Don’t Stop (Color on the Walls)	Foster The People
Dip	Tyga & Nicki Minaj
Snapbacks & Tattoos	Driicky Graham
What If	Jason Derulo
Don’t It	Billy Currington
Love Sosa	Chief Keef
Mi Gente (Beyoncé Remix)	J Balvin & Willy William Featuring Beyonce
Quickie	Miguel
Beez In The Trap	Nicki Minaj Featuring 2 Chainz
Believe	Eminem
Till I’m Gone	Tinie Tempah Featuring Wiz Khalifa
XXX.	Kendrick Lamar Featuring U2
Summertime Magic	Childish Gambino
Prayed for You	Matt Stell
Lights Up	Harry Styles
For Free	DJ Khaled Featuring Drake
Think A Little Less	Michael Ray
My PYT	Wale
Un-Thinkable (I’m Ready)	Alicia Keys
You’re So Beautiful (Remake)	Empire Cast Featuring Jussie Smollett & Yazz
Word Crimes	"""Weird Al"" Yankovic"
This Could Be Us	Rae Sremmurd
0 to 100 / The Catch Up	Drake
Falling Down	Lil Peep & XXXTENTACION
Keep Your Head Up	Andy Grammer
Blow Me (One Last Kiss)	P!nk
6 Man	Drake
Someone Like You	Adele
Set the Fire to the Third Bar	Snow Patrol Featuring Martha Wainwright
Rake It Up	Yo Gotti Featuring Nicki Minaj
Fly Away	5 Seconds Of Summer
Let Me Love You (Until You Learn to Love Yourself)	Ne-Yo
​break up with your girlfriend, i’m bored	Ariana Grande
Father Stretch My Hands, Pt. 1	Kanye West
Jackie Chan	Tiesto & Dzeko Featuring Preme & Post Malone
Downtown	Lady Antebellum
Lose You To Love Me	Selena Gomez
Mockingbird	Rob Thomas
Firework	Katy Perry
Redneck Crazy	Tyler Farr
Medicine	Queen Naija
Singles You Up	Jordan Davis
Style	Taylor Swift
On To The Next One	Jay-Z + Swizz Beatz
Lights Come On	Jason Aldean
X	ScHoolboy Q, 2 Chainz & Saudi
Fetish	Selena Gomez Featuring Gucci Mane
Little Toy Guns	Carrie Underwood
Magic	B.o.B Featuring Rivers Cuomo
Alejandro	Lady Gaga
Head Over Boots	Jon Pardi
Shake It Out	Florence + The Machine
Honey, I’m Good.	Andy Grammer
Taking a Walk	Trippie Redd
Sexy Chick	David Guetta Featuring Akon
Helluva Life	Frankie Ballard
Untouchable	YoungBoy Never Broke Again
Baby, It’s Cold Outside	Dean Martin
Only	Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown
Our Kind Of Love	Lady Antebellum
Six Feet Under	The Weeknd
The Man Who Can’t Be Moved	The Script
How Not To	Dan + Shay
Mrs. Right	Mindless Behavior Featuring Diggy
Everything Has Changed	Taylor Swift Featuring Ed Sheeran
This Feeling	The Chainsmokers Featuring Kelsea Ballerini
Out of My Head	Lupe Fiasco Featuring Trey Songz
On My Mind	Ellie Goulding
The Show Goes On	Lupe Fiasco
Story of My Life	One Direction
I Like It	Enrique Iglesias Featuring Pitbull
Road Less Traveled	Lauren Alaina
Slow Motion	Trey Songz
Queen of Mean	Sarah Jeffery
Get Me Some of That	Thomas Rhett
​​breathin	Ariana Grande
False Alarm	The Weeknd
Institutionalized	Kendrick Lamar Featuring Bilal, Anna Wise & Snoop Dogg
Hit The Quan	iLoveMemphis
La La Land	Bryce Vine Featuring YG
Novacane	Frank Ocean
Cuban Links	Rod Wave & Kevin Gates
Weston Road Flows	Drake
​all my friends	21 Savage
Needed Me	Rihanna
Racks	YC Featuring Future
Top of the World	Tim McGraw
Often	The Weeknd
Whatever She’s Got	David Nail
No Love	Eminem Featuring Lil Wayne
Humble and Kind	Tim McGraw
Coming Home	Keith Urban Featuring Julia Michaels
Bom Bidi Bom	Nick Jonas & Nicki Minaj
Masterpiece	Jessie J
Higher (Travie McCoy Remix)	Taio Cruz Featuring Travie McCoy
Everyday We Lit	YFN Lucci Featuring PnB Rock
Tunnel Vision	Kodak Black
Show Me	Kid Ink Featuring Chris Brown
Drinking Class	Lee Brice
I Dreamed a Dream	Glee Cast Featuring Idina Menzel
Determinate	Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko
Did It On’em	Nicki Minaj
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
​xanny	Billie Eilish
Look Alive	BlocBoy JB Featuring Drake
Me Enamoré	Shakira
Dancing Crazy	Miranda Cosgrove
HandClap	Fitz And The Tantrums
Vice	Miranda Lambert
Take Me or Leave Me	Glee Cast
No Me Conoce (Remix)	Jhay Cortez, J Balvin & Bad Bunny
Bubble Butt	Major Lazer Featuring Bruno Mars, Tyga & Mystic
Bon Appétit	Katy Perry Featuring Migos
Mirrors	Justin Timberlake
Strip That Down	Liam Payne Featuring Quavo
Home	Phillip Phillips
Sledgehammer	Fifth Harmony
Scary Monsters and Nice Sprites	Skrillex
Hey Brother	Avicii
I Love It	Kanye West & Lil Pump
No Type	Rae Sremmurd
Panini	Lil Nas X
Misery	Glee Cast
Take a Walk	Passion Pit
Come Back Song	Darius Rucker
Footloose	Blake Shelton
223's	YNW Melly & 9lokknine
Kings and Queens	Thirty Seconds To Mars
Too Close	Alex Clare
Little Red Wagon	Miranda Lambert
White Christmas	Bing Crosby
Hello	Adele
​bury a friend	Billie Eilish
Not Nice	PARTYNEXTDOOR
Neva End	Future
Fifteen	Taylor Swift
Any Ol’ Barstool	Jason Aldean
​in my head	Ariana Grande
Work from Home	Fifth Harmony Featuring Ty Dolla $ign
What’s My Name?	Rihanna Featuring Drake
Miss Me	Drake Featuring Lil Wayne
Lookin’ for that Girl	Tim McGraw
Falling	Trevor Daniel
Red Room	Offset
The Catalyst	Linkin Park
If I Die Young	The Band Perry
You Stay	DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih
Who I Am with You	Chris Young
Turn On the Lights	Future
Never Gonna Leave This Bed	Maroon 5
Nightmare	Avenged Sevenfold
​the remedy for a broken heart (why am I so in love)	XXXTENTACION
Kiss Me Kiss Me	5 Seconds Of Summer
Brokenhearted	Karmin
Break	Three Days Grace
NASA	Ariana Grande
U Guessed It (Remix)	OG Maco Featuring 2 Chainz
Roger That	Young Money
Water Under the Bridge	Adele
God, Your Mama, and Me	Florida Georgia Line Featuring Backstreet Boys
Strip Me	Natasha Bedingfield
Do You Mind	DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross
​i’m so tired...	Lauv & Troye Sivan
Uprising	Muse
Self Control	YoungBoy Never Broke Again
All Girls Are the Same	Juice WRLD
Life Changes	Thomas Rhett
Nothin’ Like You	Dan + Shay
MotorSport	Migos, Nicki Minaj & Cardi B
The 100 Best Country Songs Of All Time	Tim McGraw With Taylor Swift
You Don’t Know Her Like I Do	Brantley Gilbert
Nobody to Blame	Chris Stapleton
Fine By Me	Andy Grammer
I Met a Girl	William Michael Morgan
American Honey	Lady Antebellum
Shots	Imagine Dragons
One More Night	Maroon 5
Love Like Woe	The Ready Set
Love Wins	Carrie Underwood
Paper Rings	Taylor Swift
Still Here	Drake
Red Solo Cup	Toby Keith
Pills & Automobiles	Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black
The Greatest Show	Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble
Thrift Shop	Macklemore & Ryan Lewis Featuring Wanz
Life Is Worth Living	Justin Bieber
Intro	J. Cole
Ghost	Ella Henderson
Mary, Did You Know?	Pentatonix
Now & Forever	Drake
Everything to Me	Monica
​​i	Lil Skies
Light It Up (Remix)	Major Lazer Featuring Nyla & Fuse ODG
Just Hold On	Steve Aoki & Louis Tomlinson
Love Yourself	Justin Bieber
On Fire	Lil Wayne
Show Yourself	Idina Menzel & Evan Rachel Wood
Dive	Ed Sheeran
Lalala	Y2K & bbno$
When Doves Cry	Prince
I Got the Keys	DJ Khaled Featuring Jay Z & Future
Unusual	Trey Songz Featuring Drake
IGOR’S THEME	Tyler, The Creator
King’s Dead	Jay Rock, Kendrick Lamar, Future & James Blake
Fine China	Future & Juice WRLD
Round Here Buzz	Eric Church
Love You Too Late	Cole Swindell
Let You Down	NF
Beautiful	Carly Rae Jepsen Featuring Justin Bieber
Heart Skips a Beat (Remix)	Olly Murs Featuring Chiddy Bang
What About Love	Austin Mahone
It’s Goin’ Down	Descendants 2 Cast
Roll Up	Wiz Khalifa
Kinfolks	Sam Hunt
Bang My Head (Remix)	David Guetta Featuring Sia & Fetty Wap
Sunrise, Sunburn, Sunset	Luke Bryan
Cross Me	Ed Sheeran Featuring Chance The Rapper & PnB Rock
Living	Dierks Bentley
Tennessee Rain	Addison Agen
See You Tonight	Scotty McCreery
Purple Rain	Prince And The Revolution
Treasure	Bruno Mars
New Music Friday 12/16/16	Zayn / Taylor Swift
You & I (Nobody in the World)	John Legend
How We Do (Party)	Rita Ora
Rumor	Lee Brice
Shake	Jesse McCartney
Perfect Illusion	Lady Gaga
Neon	Chris Young
Pure Cocaine	Lil Baby
Good for You	Selena Gomez Featuring A$AP Rocky
Gonna	Blake Shelton
Lord Knows	Meek Mill
No Smoke	YoungBoy Never Broke Again
You Know You Like It	DJ Snake & AlunaGeorge
Don’t Stop	5 Seconds Of Summer
Sick Boy	The Chainsmokers
I Like It	Cardi B, Bad Bunny & J Balvin
Fall	Eminem
80s Mercedes	Maren Morris
Everything is AWESOME!!!	Tegan And Sara Featuring The Lonely Island
Human	Rag'n'Bone Man
Woah	Lil Baby
Wildest Dreams	Taylor Swift
Am I the Only One	Dierks Bentley
Change Lanes	Kevin Gates
Black and Yellow	Wiz Khalifa
Rich As Hell	YoungBoy Never Broke Again
Ransom	Lil Tecca
Let Me Love You	Ariana Grande Featuring Lil Wayne
Hail to the King	Avenged Sevenfold
Adore You	Miley Cyrus
Eyes on You	Chase Rice
Loud	Mac Miller
Mama Said	Lukas Graham
Sleigh Ride	The Ronettes
Topanga	Trippie Redd
Even Though I’m Leaving	Luke Combs
Hey Mama	David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack
Feels	Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean
Self Care	Mac Miller
Love Runs Out	OneRepublic
Airplanes	B.o.B Featuring Hayley Williams
Song About a Girl	Eric Paslay
In My Head	Jason Derulo
Hope You Get Lonely Tonight	Cole Swindell
That’s On Me	Yella Beezy
Hometown Girl	Josh Turner
I Wanna Go	Britney Spears
Attention	Charlie Puth
Somewhere On a Beach	Dierks Bentley
Billie Jean	Michael Jackson
If I Could Fly	One Direction
How Many Drinks?	Miguel
Big Shot	Kendrick Lamar & Travis Scott
Dirt	Florida Georgia Line
Somebody That I Used to Know	Glee Cast
This Summer’s Gonna Hurt Like a Motherfucker	Maroon 5
Cryin’ For Me (Wayman’s Song)	Toby Keith
Somebody That I Used To Know (The Voice Performance)	Christina Grimmie & Adam Levine
Ring	Cardi B Featuring Kehlani
Beachin’	Jake Owen
Olivia	One Direction
It’s You	Ali Gatie
Vete	Bad Bunny
Weak	AJR
Down	Marian Hill
Chains	Nick Jonas
Crazy Town	Jason Aldean
GDFR	Flo Rida Featuring Sage The Gemini & Lookas
Days of Gold	Jake Owen
Paper Doll	John Mayer
The Heart of Dixie	Danielle Bradbery
A Little Bit Stronger	Sara Evans
The Other Side	Jason Derulo
Prayer in C (Robin Schulz Radio Edit)	Lillywood & Robin Schulz
Record Year	Eric Church
She’s Kinda Hot	5 Seconds Of Summer
Do I Wanna Know?	Arctic Monkeys
Mean To Me	Brett Eldredge
Feeling Myself	Nicki Minaj Featuring Beyonce
Down to the Honkytonk	Jake Owen
Kick the Dust Up	Luke Bryan
Lonely Boy	The Black Keys
One Thing	One Direction
Leave You Alone	Young Jeezy Featuring Ne-Yo
Let Me Go	Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt
Never Say Never	Justin Bieber Featuring Jaden Smith
Partition	Beyonce
Different for Girls	Dierks Bentley Featuring Elle King
Burnin’ It Down	Jason Aldean
The Fox (What Does the Fox Say?)	Ylvis
False God	Taylor Swift
Young, Wild & Free	Snoop Dogg & Wiz Khalifa Featuring Bruno Mars
Best Day of My Life	American Authors
It’s the Most Wonderful Time of the Year	Andy Williams
Moolah	Young Greatness
Caroline	Amine
EARFQUAKE	Tyler, The Creator
V.S.O.P.	K. Michelle
You Be Killin Em	Fabolous
First of the Year (Equinox)	Skrillex
In Control	YoungBoy Never Broke Again
Honest	Future
​bad idea	Ariana Grande
Best Friend’s Brother	Victorious Cast Featuring Victoria Justice
Know Yourself	Drake
Rumour Has It / Someone Like You	Glee Cast
Promise	Kid Ink Featuring Fetty Wap
Love Me Harder	Ariana Grande & The Weeknd
Litty	Meek Mill Featuring Tory Lanez
Dust	Eli Young Band
All About That Bass	Meghan Trainor
Ain’t Back Yet	Kenny Chesney
Wide Awake	Katy Perry
Dark Horse	Katy Perry Featuring Juicy J
Parachute	Chris Stapleton
Stitches	Shawn Mendes
The Ways	Khalid & Swae Lee
You Broke Up with Me	Walker Hayes
Teenage Dream	Katy Perry
Him & I	G-Eazy & Halsey
Rock That Body	The Black Eyed Peas
Good Thing	Sage The Gemini Featuring Nick Jonas
Applause	Lady Gaga
My Type	Saweetie
Saturday Nights REMIX	Khalid & Kane Brown
BILLY	6ix9ine
Die a Happy Man	Thomas Rhett
Rockabye	Clean Bandit Featuring Sean Paul & Anne-Marie
Trumpets	Jason Derulo
7 Years	Lukas Graham
Cowboys And Angels	Dustin Lynch
Far Away	Marsha Ambrosius
Red Lights	Tiesto
We’ll Be a Dream	WE the Kings Featuring Demi Lovato
Gone, Gone, Gone	Phillip Phillips
Hey	Lil Jon Featuring 3OH!3
No Sense	Justin Bieber Featuring Travi$ Scott
Wu-Tang Forever	Drake
Southside	Lil Baby
Window Pain (Outro)	J. Cole
Gold on the Ceiling	The Black Keys
Oh Love	Green Day
Rain Over Me	Pitbull Featuring Marc Anthony
Na Na	Trey Songz
Come Wake Me Up	Rascal Flatts
Down On Me	Jeremih Featuring 50 Cent
Two Black Cadillacs	Carrie Underwood
TKO	Justin Timberlake
Beers Ago	Toby Keith
Show Out	Juicy J Featuring Big Sean & Young Jeezy
Runaway Baby	Bruno Mars
Free	Zac Brown Band
Baby	Lil Baby & DaBaby
Welcome to the Party	Diplo, French Montana & Lil Pump Featuring Zhavia Ward
Alone Together	Fall Out Boy
The Blacker the Berry	Kendrick Lamar
My First Kiss	3OH!3 Featuring Ke$ha
Price Tag	Jessie J Featuring B.o.B
Oceans (Where Feet May Fail)	Hillsong UNITED
Promises	Calvin Harris & Sam Smith
Fresh Eyes	Andy Grammer
We Were Us	Keith Urban And Miranda Lambert
Miss Me More	Kelsea Ballerini
Hype	Drake
Stay with Me	Sam Smith
679	Fetty Wap Featuring Remy Boyz
Jealous	Nick Jonas
Close Friends	Lil Baby
Night Changes	One Direction
Turning Tables	Adele
​God is a woman	Ariana Grande
​coffee	Miguel
Sign of the Times	Harry Styles
Candles	Glee Cast
Imma Be	The Black Eyed Peas
A.M.	One Direction
Out of the Woods	Taylor Swift
Love on the Brain	Rihanna
Round Of Applause	Waka Flocka Flame Featuring Drake
The Fighter	Keith Urban Featuring Carrie Underwood
Too Much Sauce	DJ ESCO Featuring Future & Lil Uzi Vert
First Love	Jennifer Lopez
Without Me	Halsey
Hey Baby (Drop It to the Floor)	Pitbull Featuring T-Pain
I Just Had Sex	The Lonely Island Featuring Akon
Voices	Chris Young
Downtown	Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz
Castaway	Zac Brown Band
Emotionless	Drake
Gotta Have It	Jay Z Kanye West
JAPAN	Famous Dex
Uma Thurman	Fall Out Boy
Don’t Drop That Thun Thun	The FiNATTiCZ
Propuesta Indecente	Romeo Santos
Never Really Over	Katy Perry
Climax	Usher
Party in the U.S.A.	Miley Cyrus
OTW	DJ Luke Nasty
Birthday Song	2 Chainz Featuring Kanye West
Knee Deep	Zac Brown Band Featuring Jimmy Buffett
Lovin’ You Is Fun	Easton Corbin
PPAP (Pen Pineapple Apple Pen) (Long Version)	PIKOTARO
Dirty Laundry	Carrie Underwood
RUNNING OUT OF TIME	Tyler, The Creator
Catch My Breath	Kelly Clarkson
DJ Got Us Fallin’ in Love	Usher Featuring Pitbull
Roller Coaster	Luke Bryan
Yacht Club	Lil Yachty Featuring Juice WRLD
Walking on a Dream	Empire Of The Sun
Behind Barz	Drake
Mercy	Dave Matthews Band
Boyz-n-the Hood	Eazy-E
Round & Round	Selena Gomez & The Scene
Goodbye In Her Eyes	Zac Brown Band
Watch Me	Silento
Give In To Me	Garrett Hedlund & Leighton Meester
Love Faces	Trey Songz
I Like the Sound of That	Rascal Flatts
Elastic Heart	Sia
DNA	BTS
Waves	Mr. Probz
I Got Nothin’	Darius Rucker
A Guy With a Girl	Blake Shelton
I Lived It	Blake Shelton
Empire State of Mind (Part II) Broken Down	Alicia Keys
Man of tHe Year	ScHoolboy Q
Should’ve Been Us	Tori Kelly
BRACKETS	J. Cole
Boom	Snoop Dogg Featuring T-Pain
Round Here	Florida Georgia Line
Best Song Ever	One Direction
Ruin My Life	Zara Larsson
How Will I Know	Whitney Houston
Sugar	Robin Schulz Featuring Francesco Yates
Both	Gucci Mane Featuring Drake
Country Songs about Drinking Alcohol	Dustin Lynch
Check It Out	will.i.am & Nicki Minaj
​arms	Christina Perri
Ghostface Killers	21 Savage, Offset & Metro Boomin Featuring Travis Scott
Liquor	Chris Brown
Level Up	Ciara
Say You Won’t Let Go	James Arthur
Chill Bill	Rob $tone Featuring J. Davi$ & Spooks
Holding You Down (Goin’ In Circles)	Jazmine Sullivan
Merry Go ’Round	Kacey Musgraves
Versace on the Floor	Bruno Mars
Saved	Ty Dolla $ign Featuring E-40
Throw Sum Mo	Rae Sremmurd Featuring Nicki Minaj & Young Thug
Lover, Lover	Jerrod Niemann
Cop Car	Keith Urban
Use Somebody	Kings Of Leon
This Is How We Do	Katy Perry
Love Me Again	John Newman
Really Don’t Care	Demi Lovato Featuring Cher Lloyd
The Long Way	Brett Eldredge
Spoil My Night	Post Malone Featuring Swae Lee
Light It Up	Luke Bryan
Aston Martin Music	Rick Ross Featuring Drake & Chrisette Michele
Secreto	Anuel AA & Karol G
Don’t Call Me Up	Mabel
Midnight Memories	One Direction
For You, and Your Denial	Yellowcard
Where Have You Been	Rihanna
Armed & Dangerous	Juice WRLD
Drop It Low	Ester Dean Featuring Chris Brown
No Brainer	DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo
Hell On The Heart	Eric Church
Last Christmas	Ariana Grande
Strip It Down	Luke Bryan
Spotlight	Gucci Mane Featuring Usher
Wish You Were Here	Avril Lavigne
Sail	AWOLNATION
Do What U Want	Lady Gaga Featuring R. Kelly
Marvin & Chardonnay	Big Sean Featuring Kanye West & Roscoe Dash
Questions	Chris Brown
All the Right Moves	OneRepublic
Shake It Off	Taylor Swift
Ready or Not	Bridgit Mendler
Good Girls	5 Seconds Of Summer
Night’s On Fire	David Nail
West Coast	Lana Del Rey
Black Magic	Little Mix
Mean	Taylor Swift
Baby Shark	Pinkfong
Papi	Jennifer Lopez
Sure Be Cool If You Did	Blake Shelton
F&N	Future
Night Train	Jason Aldean
Go Flex	Post Malone
X (EQUIS)	Nicky Jam x J Balvin
Break Up in the End	Cole Swindell
Water	Brad Paisley
Young Dumb & Broke	Khalid
Hot	Young Thug Featuring Gunna
Farmer’s Daughter	Rodney Atkins
Break Up With Him	Old Dominion
Point At You	Justin Moore
Lighters	Bad Meets Evil Featuring Bruno Mars
​break da law	21 Savage
State of Grace	Taylor Swift
I’m on One	DJ Khaled Featuring Drake, Rick Ross & Lil Wayne
I’ll Name the Dogs	Blake Shelton
Radioactive	Kings Of Leon
Rude Boy	Rihanna
Long Live A$AP	A$AP Rocky
Happy	Pharrell Williams
#Beautiful	Mariah Carey Featuring Miguel
Baby	Glee Cast
Teach Me How to Dougie	Cali Swag District
Don’t Stop the Party	The Black Eyed Peas
Company	Justin Bieber
Beer Money	Kip Moore
When I See This Bar	Kenny Chesney
Dancin’ Away With My Heart	Lady Antebellum
Handsome and Wealthy	Migos
Runaways	The Killers
Kiss	Prince And The Revolution
No Role Modelz	J. Cole
Almost Is Never Enough	Ariana Grande & Nathan Sykes
Changed It	Nicki Minaj & Lil Wayne
Star of the Show	Thomas Rhett
Where Them Girls At	David Guetta Featuring Flo Rida & Nicki Minaj
You Should Be Here	Cole Swindell
RAP DEVIL	Machine Gun Kelly
Angel Eyes	Love And Theft
For You	Keith Urban
Lay Me Down	Sam Smith
Arsonal vs K-Shine	Usher & Michelle Chamuel
Rewrite the Stars	Zac Efron & Zendaya
Red Light	David Nail
Hello, Goodbye	Glee Cast
All the Pretty Girls	Kenny Chesney
Friday Night	Eric Paslay
Turn Down For What	DJ Snake & Lil Jon
Church Bells	Carrie Underwood
Whatcha Say	Jason Derulo
When A Woman Loves	R. Kelly
Shotta Flow	NLE Choppa
Millionaire	Chris Stapleton
Hustle Hard	Ace Hood
ROXANNE	Arizona Zervas
She Got the Best of Me	Luke Combs
Make Me Wanna	Thomas Rhett
One Less Lonely Girl	Justin Bieber
Adventure of a Lifetime	Coldplay
Loving You Easy	Zac Brown Band
Turn On The Radio	Reba
Pretty Good At Drinkin’ Beer	Billy Currington
Live While We’re Young	One Direction
Immortal	J. Cole
Sunshine & Whiskey	Frankie Ballard
$ave Dat Money	Lil Dicky Featuring Fetty Wap & Rich Homie Quan
I Drive Your Truck	Lee Brice
How Country Feels	Randy Houser
Wait	Maroon 5
How Do You Sleep?	Sam Smith
24K Magic	Bruno Mars
Ridin’ Solo	Jason Derulo
Wicked	Future
Come Over	Kenny Chesney
Héroe Favorito	Romeo Santos
What Do You Want	Jerrod Niemann
Over	Drake
Crawling Back to You	Daughtry
Gentleman	PSY
WHAT’S GOOD	Tyler, The Creator
I’m the Plug	Drake & Future
Chainsaw	The Band Perry
It’s Time	Imagine Dragons
Try	Colbie Caillat
Everything 1K	Kodak Black
Beware	Big Sean Featuring Lil Wayne & Jhene Aiko
High School	Nicki Minaj Featuring Lil Wayne
Gonna Wanna Tonight	Chase Rice
Bait A Hook	Justin Moore
Wishing	DJ Drama Featuring Chris Brown, Skeme & Lyquin
Darte un Beso	Prince Royce
Meek Mill Freestyles on Flex (2017) | Freestyle #068	Lauren Duski
Trip	Ella Mai
Hangin’ On	Chris Young
Stronger (What Doesn’t Kill You)	Kelly Clarkson
Grass Ain’t Greener	Chris Brown
God’s Plan	Drake
Take Your Time	Sam Hunt
Back to Sleep	Chris Brown
Press	Cardi B
Jealous	DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean
CRZY	Kehlani
Want U Back	Cher Lloyd
Hard To Love	Lee Brice
Club Can’t Handle Me	Flo Rida Featuring David Guetta
One Time	Justin Bieber
I Like It Like That	Hot Chelle Rae Featuring New Boyz
You Make It Easy	Jason Aldean
Runnin’ Outta Moonlight	Randy Houser
Baby	Justin Bieber Featuring Ludacris
Knockin’ Boots	Luke Bryan
White Iverson	Post Malone
Fearless	Taylor Swift
Rewind	Rascal Flatts
Firework	Glee Cast
Roar	Katy Perry
Gettin’ Over You	David Guetta & Chris Willis Featuring Fergie & LMFAO
Classic	MKTO
Only Time	Enya
Whiskey Glasses	Morgan Wallen
Could It Be	Charlie Worsham
Black Beatles	Rae Sremmurd Featuring Gucci Mane
Heart on Ice	Rod Wave
X	21 Savage & Metro Boomin Featuring Future
High End	Chris Brown Featuring Future & Young Thug
Dibs	Kelsea Ballerini
Formation	Beyonce
​goosebumps	Travis Scott
Crash My Party	Luke Bryan
Been You	Justin Bieber
SING	Glee Cast
Lips Are Movin	Meghan Trainor
Slide	Calvin Harris Featuring Frank Ocean & Migos
It Goes Like This	Thomas Rhett
Climb Every Mountain	Jordan Smith
The Weekend	SZA
Fix	Chris Lane
It’s a Vibe	2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko
Eyes Wide Open	Gotye
I Made It (Cash Money Heroes)	Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne
Rap Genius Trends: 2014	Young Money Featuring Drake
Robbery	Juice WRLD
Never Forget You	Zara Larsson & MNEK
Look at You	Big & Rich
Like A Wrecking Ball	Eric Church
Camouflage	Brad Paisley
I Love It	Icona Pop Featuring Charli XCX
GOD.	Kendrick Lamar
DNA.	Kendrick Lamar
Heathens	twenty one pilots
White Walls	Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis
Deja Vu	J. Cole
Just Breathe	Pearl Jam
Ball For Me	Post Malone Featuring Nicki Minaj
Hit or Miss	Jacob Sartorius
Love Don’t Die	The Fray
Confession	Florida Georgia Line
Coming Home	Diddy - Dirty Money Featuring Skylar Grey
​all the good girls go to hell	Billie Eilish
24/7	Meek Mill Featuring Ella Mai
There Goes My Baby	Usher
Wet Dreamz	J. Cole
Something to Do with My Hands	Thomas Rhett
Feel Like A Rock Star	Kenny Chesney & Tim McGraw
Wonderland	Taylor Swift
PRIDE.	Kendrick Lamar
I’m Different	2 Chainz
Not Over You	Gavin DeGraw
Dark Times	The Weeknd Featuring Ed Sheeran
Bobby Bitch	Bobby Shmurda
No Lie	2 Chainz Featuring Drake
Only Girl (In the World)	Rihanna
Women Lie, Men Lie	Yo Gotti Featuring Lil Wayne
Crooked Smile	J. Cole Featuring TLC
Please Don’t Go	Mike Posner
Wobble	V.I.C.
Little Lion Man	Mumford & Sons
We Were	Keith Urban
Turn Me On	David Guetta Featuring Nicki Minaj
The Story of O.J.	JAY-Z
Kiss You In The Morning	Michael Ray
Jerry Sprunger	Tory Lanez & T-Pain
Supplies	Justin Timberlake
April 2016 Album Release Calendar	Javier Colon
Neighbors Know My Name	Trey Songz
Purple Lamborghini	Skrillex & Rick Ross
NBAYOUNGBOAT	Lil Yachty Featuring NBA YoungBoy
Sing!	Ed Sheeran
Misery	Maroon 5
Swalla	Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign
Straight Outta Compton	N.W.A
Honest	The Chainsmokers
Liability	Lorde
Make No Sense	YoungBoy Never Broke Again
Hate Me	Ellie Goulding & Juice WRLD
My House	Flo Rida
Solo	Clean Bandit Featuring Demi Lovato
On Top of the World	Imagine Dragons
Dura	Daddy Yankee
A Thousand Years	Christina Perri
Angel	Akon
2 Reasons	Trey Songz Featuring T.I.
Young & Crazy	Frankie Ballard
Come & Get It	Selena Gomez
If I Can’t Have You	Shawn Mendes
Bulletproof	La Roux
Headlines	Drake
Domino	Jessie J
Swang	Rae Sremmurd
How Far I’ll Go	Auli'i Cravalho
Rhythm of Love	Plain White T's
Sex Therapy	Robin Thicke
Young & Gettin’ It	Meek Mill Featuring Kirko Bangz
Time	NF
Get Along	Kenny Chesney
Backroad Song	Granger Smith
Tonight (I’m Lovin’ You)	Enrique Iglesias Featuring Ludacris & DJ Frank E
Paradise	Coldplay
Delicate	Taylor Swift
I Hit It First	Ray J Featuring Bobby Brackins
Paparazzi	Lady Gaga
Nobody’s Perfect	J. Cole Featuring Missy Elliott
Love Me Now	John Legend
Higher	DJ Khaled Featuring Nipsey Hussle & John Legend
7 rings	Ariana Grande
Victorious	Panic! At The Disco
Bartender	Lady Antebellum
J. Cole - FRIENDS ft. kiLL edward (Tradução)	J. Cole Featuring kiLL edward
Cowboy Casanova	Carrie Underwood
Rap God	Eminem
Loco Contigo	DJ Snake, J. Balvin & Tyga
Good Life	OneRepublic
BOP	DaBaby
Love Like Crazy	Lee Brice
My Old Man	Zac Brown Band
Castle on the Hill	Ed Sheeran
Levels	Nick Jonas
Kendrick Lamar - LOVE. (ft. Zacari) (Traduction Française)	Kendrick Lamar Featuring Zacari
Barbie Dreams	Nicki Minaj
If I Didn’t Have You	Thompson Square
